,batch_norm,epochs,eta_decay,eta_initial,final_acc_test,final_acc_train,final_acc_val,final_cost_test,final_cost_train,final_cost_val,hidden_layers,lamda,momentum,plot
0,False,15,0.99,0.01,0,0.384,0.362,0,1.7552973697604932,1.8596914278708054,"[50, 30]",0,0.8,plotresults/coarseandfine_0.png
0,True,15,0.99,0.01,0,0.47,0.36,0,1.5350025616696878,1.8026391225633225,"[50, 30]",0,0.8,plotresults/coarseandfine_1.png
0,True,10,0.99,0.40573,0,0.3558,0.274,0,2.019698033138495,2.4777582804812472,"[50, 30]",0.000192,0.8,plotresults/coarseandfine_2.png
0,True,10,0.99,0.029202,0,0.4126,0.315,0,1.7448556736707193,2.0527208405254758,"[50, 30]",0.000192,0.8,plotresults/coarseandfine_3.png
0,True,10,0.99,0.012721,0,0.3898,0.326,0,1.7777513334099893,1.9688136710658757,"[50, 30]",0.000192,0.8,plotresults/coarseandfine_4.png
0,True,10,0.99,0.003215,0,0.2782,0.245,0,2.1335350291736637,2.287413138836265,"[50, 30]",0.000192,0.8,plotresults/coarseandfine_5.png
0,True,10,0.99,0.40573,0,0.1534,0.15,0,3.7826250117029274,4.240494925323128,"[50, 30]",0.000672,0.8,plotresults/coarseandfine_6.png
0,True,10,0.99,0.029202,0,0.4386,0.323,0,1.7092540584507299,2.0471593401340846,"[50, 30]",0.000672,0.8,plotresults/coarseandfine_7.png
0,True,10,0.99,0.012721,0,0.3416,0.29,0,1.978208610734065,2.1415070128945666,"[50, 30]",0.000672,0.8,plotresults/coarseandfine_8.png
0,True,10,0.99,0.003215,0,0.2636,0.247,0,2.261512960899647,2.3834435212896685,"[50, 30]",0.000672,0.8,plotresults/coarseandfine_9.png
0,True,10,0.99,0.40573,0,0.2062,0.185,0,3.350048813030656,3.5402572808143598,"[50, 30]",0.003772,0.8,plotresults/coarseandfine_10.png
0,True,10,0.99,0.029202,0,0.3414,0.274,0,2.2696004759023616,2.511367797232081,"[50, 30]",0.003772,0.8,plotresults/coarseandfine_11.png
0,True,10,0.99,0.012721,0,0.3774,0.318,0,2.3458098339247297,2.5549149743985464,"[50, 30]",0.003772,0.8,plotresults/coarseandfine_12.png
0,True,10,0.99,0.003215,0,0.287,0.27,0,2.561341429186619,2.6598586517090093,"[50, 30]",0.003772,0.8,plotresults/coarseandfine_13.png
0,True,10,0.99,0.40573,0,0.177,0.167,0,2.4883413523456404,2.5201134315861546,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_14.png
0,True,10,0.99,0.029202,0,0.2864,0.242,0,3.0214071870395083,3.0986879053455514,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_15.png
0,True,10,0.99,0.012721,0,0.264,0.23,0,4.358143070158162,4.426725483170783,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_16.png
0,True,10,0.99,0.003215,0,0.2754,0.245,0,5.973248772138264,6.068816500157945,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_17.png
0,True,10,0.99,0.40573,0,0.1546,0.151,0,2.6242594506587333,2.625992797156017,"[50, 30]",0.266132,0.8,plotresults/coarseandfine_18.png
0,True,10,0.99,0.029202,0,0.135,0.126,0,2.467653319715555,2.4723084770399884,"[50, 30]",0.266132,0.8,plotresults/coarseandfine_19.png
0,True,10,0.99,0.012721,0,0.1354,0.117,0,2.504355745635454,2.508128590758362,"[50, 30]",0.266132,0.8,plotresults/coarseandfine_20.png
0,True,10,0.99,0.003215,0,0.1832,0.165,0,10.28049927552526,10.299905708753828,"[50, 30]",0.266132,0.8,plotresults/coarseandfine_21.png
0,True,15,0.99,0.043773,0,0.422,0.319,0,2.0541419208983775,2.2494712237188303,"[50, 30]",0.012361,0.8,plotresults/coarseandfine_22.png
0,True,15,0.99,0.029202,0,0.42,0.304,0,2.191648105619603,2.403461298034043,"[50, 30]",0.012361,0.8,plotresults/coarseandfine_23.png
0,True,15,0.99,0.016231,0,0.2913,0.221,0,2.6456661784155884,2.8522934201958154,"[50, 30]",0.012361,0.8,plotresults/coarseandfine_24.png
0,True,15,0.99,0.001051,0,0.3131,0.285,0,3.67103229414771,3.741506213646696,"[50, 30]",0.012361,0.8,plotresults/coarseandfine_25.png
0,True,15,0.99,0.043773,0,0.3225,0.259,0,2.2740784333667223,2.357081421473744,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_26.png
0,True,15,0.99,0.029202,0,0.3355,0.299,0,2.2424485962115006,2.310533369429359,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_27.png
0,True,15,0.99,0.016231,0,0.2774,0.249,0,2.5121109764282696,2.5791129594477864,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_28.png
0,True,15,0.99,0.001051,0,0.3145,0.274,0,5.979468496606433,6.052907380292737,"[50, 30]",0.03243,0.8,plotresults/coarseandfine_29.png
0,True,15,0.99,0.043773,0,0.3398,0.283,0,2.262232939932477,2.314320868789879,"[50, 30]",0.053913,0.8,plotresults/coarseandfine_30.png
0,True,15,0.99,0.029202,0,0.3865,0.315,0,2.258710638888574,2.331213686833609,"[50, 30]",0.053913,0.8,plotresults/coarseandfine_31.png
0,True,15,0.99,0.016231,0,0.3069,0.268,0,2.3927926574602685,2.4561745807816324,"[50, 30]",0.053913,0.8,plotresults/coarseandfine_32.png
0,True,15,0.99,0.001051,0,0.3437,0.314,0,7.826340949233149,7.8967136760711165,"[50, 30]",0.053913,0.8,plotresults/coarseandfine_33.png
